Subject,Occasion,FileName,FrameIndex,StartSample,EndSampleExclusive,FrameLengthSamples,IsFinalPartialFrame,FrameStatus,Alpha_Ratio_dB,CPPS_dB,H1_H2_dB,SFR_percent,SPR_dB,Spectral_Centroid_Hz,Y_Q_value,H1_H2_valid,SFR_valid,Y_Q_valid,Y_Q_status,Comment
E01,Z2,E01after_tanto-tanto_20160401_caro-mio-ben_01_mono.wav,35,71680,73728,2048,False,analyzed_full_frame,5.993653646,9.586142,7.781829,12.4628620138,-17.6403084583,1822.38602876,,True,True,False,no_valid_Q,
E01,Z2,E01after_tanto-tanto_20160401_caro-mio-ben_01_mono.wav,36,73728,75776,2048,False,analyzed_full_frame,15.55582055,7.483206,21.443045,6.41994131576,-27.7337883064,1388.79050754,,True,True,False,no_valid_Q,
E01,Z2,E01after_tanto-tanto_20160401_caro-mio-ben_01_mono.wav,37,75776,77824,2048,False,analyzed_full_frame,8.855295369,6.692328,11.639343,6.37183540969,-27.8323723159,1940.73332962,,True,True,False,no_valid_Q,
E01,Z2,E01after_tanto-tanto_20160401_caro-mio-ben_01_mono.wav,38,77824,79872,2048,False,analyzed_full_frame,12.84622885,3.095346,31.9033,6.76342429078,-23.4128437397,2749.71992452,,True,True,False,no_valid_Q,
E01,Z2,E01after_tanto-tanto_20160401_caro-mio-ben_01_mono.wav,39,79872,81920,2048,False,analyzed_full_frame,22.68463445,5.282643,16.151044,5.68396604901,-31.974990433,2456.21479898,,True,True,False,no_valid_Q,
E01,Z2,E01after_tanto-tanto_20160401_caro-mio-ben_01_mono.wav,40,81920,83968,2048,False,analyzed_full_frame,23.5510948,3.928804,13.82264,4.14284444156,-42.8439558175,2949.83047942,,True,True,False,no_valid_Q,
E01,Z2,E01after_tanto-tanto_20160401_caro-mio-ben_01_mono.wav,41,83968,86016,2048,False,analyzed_full_frame,34.62372603,5.453329,5.822608,2.44623995917,-43.7050260523,1937.76752592,,True,True,False,no_valid_Q,
E01,Z2,E01after_tanto-tanto_20160401_caro-mio-ben_01_mono.wav,42,86016,88064,2048,False,analyzed_full_frame,34.7387606,5.792306,10.112251,2.91665788626,-45.0722737887,1992.13353883,,True,True,False,no_valid_Q,
E01,Z2,E01after_tanto-tanto_20160401_caro-mio-ben_01_mono.wav,43,88064,90112,2048,False,analyzed_full_frame,27.7727767,5.891616,3.208659,5.43192101399,-28.4872397753,2267.85767106,,True,True,False,no_valid_Q,
E01,Z2,E01after_tanto-tanto_20160401_caro-mio-ben_01_mono.wav,44,90112,92160,2048,False,analyzed_full_frame,32.98281211,8.094546,10.195629,4.49790982559,-38.6768241766,1906.13748686,,True,True,False,no_valid_Q,
E01,Z2,E01after_tanto-tanto_20160401_caro-mio-ben_01_mono.wav,45,92160,94208,2048,False,analyzed_full_frame,26.39362071,7.558993,3.033883,6.79885488038,-27.6500163732,2200.72134737,,True,True,False,no_valid_Q,
E01,Z2,E01after_tanto-tanto_20160401_caro-mio-ben_01_mono.wav,46,94208,96256,2048,False,analyzed_full_frame,19.93986771,8.773503,7.909942,11.3071152889,-21.0882595618,2632.01383334,5.70224518447,True,True,True,valid,
E01,Z2,E01after_tanto-tanto_20160401_caro-mio-ben_01_mono.wav,47,96256,98304,2048,False,analyzed_full_frame,18.75643154,9.281736,2.377627,12.3861483752,-17.835296589,2369.16918687,4.91644992897,True,True,True,valid,
E01,Z2,E01after_tanto-tanto_20160401_caro-mio-ben_01_mono.wav,48,98304,100352,2048,False,analyzed_full_frame,17.42708045,10.930858,10.961467,17.4863342035,-20.5728668125,2287.06051267,12.9271682339,True,True,True,valid,
E01,Z2,E01after_tanto-tanto_20160401_caro-mio-ben_01_mono.wav,49,100352,102400,2048,False,analyzed_full_frame,11.71277635,10.680885,8.352524,26.1070681651,-13.5550409419,2090.66982479,33.8485557667,True,True,True,valid,
E01,Z2,E01after_tanto-tanto_20160401_caro-mio-ben_01_mono.wav,50,102400,104448,2048,False,analyzed_full_frame,15.17931078,9.98072,6.435687,22.2578709001,-18.4631760203,2118.84359754,17.2269741357,True,True,True,valid,
E01,Z2,E01after_tanto-tanto_20160401_caro-mio-ben_01_mono.wav,51,104448,106496,2048,False,analyzed_full_frame,17.0981615,8.738349,10.994408,14.7841677531,-22.9417821639,2069.59989401,9.54080994244,True,True,True,valid,
E01,Z2,E01after_tanto-tanto_20160401_caro-mio-ben_01_mono.wav,52,106496,108544,2048,False,analyzed_full_frame,14.61850207,10.679668,-6.43319,22.7699895614,-20.1705004563,2365.33818897,12.6617268995,True,True,True,valid,
E01,Z2,E01after_tanto-tanto_20160401_caro-mio-ben_01_mono.wav,53,108544,110592,2048,False,analyzed_full_frame,9.895769617,10.41243,12.136473,31.2410737369,-11.8022740692,2141.93130794,34.2536676757,True,True,True,valid,
E01,Z2,E01after_tanto-tanto_20160401_caro-mio-ben_01_mono.wav,54,110592,112640,2048,False,analyzed_full_frame,16.18944108,9.555456,4.270639,19.2566074282,-18.3781176609,2156.79624725,10.5197522933,True,True,True,valid,
E01,Z2,E01after_tanto-tanto_20160401_caro-mio-ben_01_mono.wav,55,112640,114688,2048,False,analyzed_full_frame,6.829444267,8.847327,5.861385,29.4516562162,-5.73724773704,3204.90555568,20.1170873011,True,True,True,valid,
E01,Z2,E01after_tanto-tanto_20160401_caro-mio-ben_01_mono.wav,56,114688,116736,2048,False,analyzed_full_frame,18.74921174,8.652855,12.712919,10.0669663998,-31.9598274831,2414.71734103,,True,True,False,no_valid_Q,
E01,Z2,E01after_tanto-tanto_20160401_caro-mio-ben_01_mono.wav,57,116736,118784,2048,False,analyzed_full_frame,24.24334445,5.708303,8.886881,7.33069756502,-32.395009176,1680.19544025,,True,True,False,no_valid_Q,
E01,Z2,E01after_tanto-tanto_20160401_caro-mio-ben_01_mono.wav,58,118784,118815,31,True,skipped_not_analyzed,,,,,,,,False,False,False,not_analyzed_short_final_frame,"Final partial frame has 31 samples (<2048); recorded only, not analyzed."
E02,Z1,E02before_20141001_tanto-tanto_01_44100_mono.wav,0,0,2048,2048,False,analyzed_full_frame,4.087146738,9.242052,4.645778,10.270778447,-19.8732860532,3409.9279065,,True,True,False,no_valid_Q,
E02,Z1,E02before_20141001_tanto-tanto_01_44100_mono.wav,1,2048,4096,2048,False,analyzed_full_frame,9.815996789,7.07142,10.953336,5.34400746909,-35.5723202385,2358.97381531,,True,True,False,no_valid_Q,
E02,Z1,E02before_20141001_tanto-tanto_01_44100_mono.wav,2,4096,6144,2048,False,analyzed_full_frame,12.97035405,8.053656,13.869421,5.86961851175,-35.4271373835,2392.60754605,,True,True,False,no_valid_Q,
E02,Z1,E02before_20141001_tanto-tanto_01_44100_mono.wav,3,6144,8192,2048,False,analyzed_full_frame,6.941560878,9.041112,6.99591,6.4809385991,-29.1549783845,2077.52805312,,True,True,False,no_valid_Q,
E02,Z1,E02before_20141001_tanto-tanto_01_44100_mono.wav,4,8192,10240,2048,False,analyzed_full_frame,3.330880288,8.420179,1.731875,8.45126245713,-23.5436256398,2244.43176329,,True,True,False,no_valid_Q,
E02,Z1,E02before_20141001_tanto-tanto_01_44100_mono.wav,5,10240,12288,2048,False,analyzed_full_frame,0.6121359926,8.351152,1.169608,11.8855948036,-18.7312336613,2097.887279,,True,True,False,no_valid_Q,
E02,Z1,E02before_20141001_tanto-tanto_01_44100_mono.wav,6,12288,14336,2048,False,analyzed_full_frame,1.056808947,9.607903,1.029786,7.94647810155,-23.0786383899,1854.97665536,,True,True,False,no_valid_Q,
E02,Z1,E02before_20141001_tanto-tanto_01_44100_mono.wav,7,14336,16384,2048,False,analyzed_full_frame,0.1984530063,7.615304,0.216106,5.26327865098,-28.0387154545,1703.24849635,,True,True,False,no_valid_Q,
E02,Z1,E02before_20141001_tanto-tanto_01_44100_mono.wav,8,16384,18432,2048,False,analyzed_full_frame,4.183038439,11.951981,2.57398,13.1432549068,-19.375825881,1920.16920014,9.38647962662,True,True,True,valid,
E02,Z1,E02before_20141001_tanto-tanto_01_44100_mono.wav,9,18432,20480,2048,False,analyzed_full_frame,9.713971696,10.153849,10.537046,11.8585182496,-23.7427433854,1552.98643973,6.90852060537,True,True,True,valid,
E02,Z1,E02before_20141001_tanto-tanto_01_44100_mono.wav,10,20480,22528,2048,False,analyzed_full_frame,10.88949466,11.801158,12.399167,12.1964673544,-23.0707580159,1547.1373743,7.05561117893,True,True,True,valid,
E02,Z1,E02before_20141001_tanto-tanto_01_44100_mono.wav,11,22528,24576,2048,False,analyzed_full_frame,8.877853596,13.179571,9.786526,14.2581325152,-21.4341992646,1577.54927141,8.84977026606,True,True,True,valid,
E02,Z1,E02before_20141001_tanto-tanto_01_44100_mono.wav,12,24576,26624,2048,False,analyzed_full_frame,7.796559055,13.476386,8.698507,12.7725773968,-21.497798093,1546.40838818,9.44447029064,True,True,True,valid,
E02,Z1,E02before_20141001_tanto-tanto_01_44100_mono.wav,13,26624,28672,2048,False,analyzed_full_frame,6.844041669,10.475905,7.400324,12.9282046298,-21.0024890305,1453.9111504,14.8207097543,True,True,True,valid,
E02,Z1,E02before_20141001_tanto-tanto_01_44100_mono.wav,14,28672,30720,2048,False,analyzed_full_frame,7.001284141,11.673375,8.194996,12.689143525,-19.7221158844,1579.51992231,14.4934663772,True,True,True,valid,
E02,Z1,E02before_20141001_tanto-tanto_01_44100_mono.wav,15,30720,32768,2048,False,analyzed_full_frame,14.25269357,11.690777,16.726321,13.3120873694,-20.3643791012,1402.35977901,25.7568756157,True,True,True,valid,
E02,Z1,E02before_20141001_tanto-tanto_01_44100_mono.wav,16,32768,34816,2048,False,analyzed_full_frame,3.874839012,11.680772,4.39522,11.6569618552,-18.9810388084,1519.00598746,12.4374484219,True,True,True,valid,
E02,Z1,E02before_20141001_tanto-tanto_01_44100_mono.wav,17,34816,36864,2048,False,analyzed_full_frame,7.000898854,10.496637,7.450464,14.824344417,-19.1213790342,1575.34695442,19.7257190512,True,True,True,valid,
