Metric,Subject,Occasion,ReferenceSubject,ReferenceOccasion,PathIndex,PathLength,NormalizedPathPosition,ReferenceOriginalFrameIndex,ReferenceValidFrameIndex,ReferenceNormalizedFramePosition,ReferenceValue,TargetOriginalFrameIndex,TargetValidFrameIndex,TargetNormalizedFramePosition,TargetValue,LocalAbsoluteCost,Comparison_DTWnorm
SFR,E01,Z1,M2025,REF,50,73,0.694444444444,42,42,0.700000000000,6.234493865598,29,29,0.763157894737,6.137451263549,0.097042602049,2.828649647035
SFR,E01,Z1,M2025,REF,51,73,0.708333333333,42,42,0.700000000000,6.234493865598,30,30,0.789473684211,3.559675301780,2.674818563818,2.828649647035
SFR,E01,Z1,M2025,REF,52,73,0.722222222222,42,42,0.700000000000,6.234493865598,31,31,0.815789473684,7.469791028805,1.235297163207,2.828649647035
SFR,E01,Z1,M2025,REF,53,73,0.736111111111,42,42,0.700000000000,6.234493865598,32,32,0.842105263158,6.381658447700,0.147164582102,2.828649647035
SFR,E01,Z1,M2025,REF,54,73,0.750000000000,42,42,0.700000000000,6.234493865598,33,33,0.868421052632,5.235623467442,0.998870398157,2.828649647035
SFR,E01,Z1,M2025,REF,55,73,0.763888888889,43,43,0.716666666667,2.662732453651,34,34,0.894736842105,3.943349556620,1.280617102968,2.828649647035
SFR,E01,Z1,M2025,REF,56,73,0.777777777778,44,44,0.733333333333,2.153140903040,34,34,0.894736842105,3.943349556620,1.790208653580,2.828649647035
SFR,E01,Z1,M2025,REF,57,73,0.791666666667,45,45,0.750000000000,21.855221001230,35,35,0.921052631579,8.192726733732,13.662494267498,2.828649647035
SFR,E01,Z1,M2025,REF,58,73,0.805555555556,46,46,0.766666666667,8.123955099490,35,35,0.921052631579,8.192726733732,0.068771634242,2.828649647035
SFR,E01,Z1,M2025,REF,59,73,0.819444444444,47,47,0.783333333333,7.290868842436,35,35,0.921052631579,8.192726733732,0.901857891296,2.828649647035
SFR,E01,Z1,M2025,REF,60,73,0.833333333333,48,48,0.800000000000,10.975009981498,35,35,0.921052631579,8.192726733732,2.782283247766,2.828649647035
SFR,E01,Z1,M2025,REF,61,73,0.847222222222,49,49,0.816666666667,18.729863180352,36,36,0.947368421053,16.188363846537,2.541499333815,2.828649647035
SFR,E01,Z1,M2025,REF,62,73,0.861111111111,50,50,0.833333333333,19.751115600517,36,36,0.947368421053,16.188363846537,3.562751753980,2.828649647035
SFR,E01,Z1,M2025,REF,63,73,0.875000000000,51,51,0.850000000000,18.061279020804,36,36,0.947368421053,16.188363846537,1.872915174267,2.828649647035
SFR,E01,Z1,M2025,REF,64,73,0.888888888889,52,52,0.866666666667,18.008989514847,36,36,0.947368421053,16.188363846537,1.820625668310,2.828649647035
SFR,E01,Z1,M2025,REF,65,73,0.902777777778,53,53,0.883333333333,28.696834085206,36,36,0.947368421053,16.188363846537,12.508470238669,2.828649647035
SFR,E01,Z1,M2025,REF,66,73,0.916666666667,54,54,0.900000000000,21.216549452171,36,36,0.947368421053,16.188363846537,5.028185605634,2.828649647035
SFR,E01,Z1,M2025,REF,67,73,0.930555555556,55,55,0.916666666667,19.431646281337,36,36,0.947368421053,16.188363846537,3.243282434800,2.828649647035
SFR,E01,Z1,M2025,REF,68,73,0.944444444444,56,56,0.933333333333,17.099968832302,36,36,0.947368421053,16.188363846537,0.911604985765,2.828649647035
SFR,E01,Z1,M2025,REF,69,73,0.958333333333,57,57,0.950000000000,15.684069086103,36,36,0.947368421053,16.188363846537,0.504294760433,2.828649647035
